execution_order,filename,sha256
1,20260810164324_core_auth.sql,bbc880c940cc2cd0f4832570a28456b5c34cb1b0b92872f1dcc58b401e0db299
2,20260810233713_vocabulary.sql,6b07e255693b840a6d6c35745b8b005b6920d87b53cb87cfa2b75d621ae52bbe
3,20260810233828_vocabulary_rls_perf_fixes.sql,b7a58e3678e714582b2dcc688d00349bfaa413b971fcb62b74d7f51010481f61
4,20260810234845_vocabulary_normalize_empty_description.sql,1c59f6dabf4f50e4028411993990da37e19e89393f87444b597a9c6679522d97
5,20260811000400_vocabulary_fix_student_set_visibility.sql,b7f6f27001d8c5e633660606e9a0ce5fcbe1061549fce7186ec93acc357a0d40
6,20260811001112_vocabulary_fix_grading_variable_clobber.sql,8bf5ba22a59a3f29fe52009476271e22a0e89d904a7b1efe5239bda6275aa285
7,20260811001824_vocabulary_fix_attempt_lost_on_completion_race.sql,bfdf8adc678f049d31a7e1dedd1dea081ef68dda20754ae1f7a40e77f3f7392c
8,20260811051226_classes_assignments_reading.sql,cc479d152a32d6826b4d545695faff5f3fe797a7be2476ace77611ce0b2e6423
9,20260811051254_uploads_cleanup_and_scheduling.sql,dc3415b5093f02ea26f6b3aebd9ff9cc876e69f334c07021ba32cc3ff445bccf
10,20260811051504_classes_assignments_reading_advisor_fixes.sql,e4da318ec4b286be5efbdaf71a00d5614657aba6d9909ecd435c8895849a6afa
11,20260811080227_allow_three_teacher_bootstrap.sql,b23a5f072eb67449f35db04a403157cb3086894c6f2eadb8a93c87b521bd227a
12,20260811191400_assignments_rebrand_and_modes.sql,0395c71844fe51bb7c368009c773f3cd81b3837f81e95d6b5d89b8ca345fea88
13,20260812011047_exams_and_summaries.sql,9b0d4cf08a9ec0db60632fd23ebe6469f79201ee6099f687be9c8c4931962f68
14,20260812120000_vocabulary_merge_expansion.sql,3623de37e763ba10b744aec02b65214745b090097621dba3d0c78dfe5b5a0121
15,20260812130000_vocabulary_retry_engine_cutover.sql,c7c264cf19c193277b435a4b06d9f660d6eaff962520a50d452dc38aaa9c2a2e
16,20260812140000_vocabulary_alt_terms.sql,005f023879f177f3e5c37fd93431ae0f82655aa358cc5036df3cac94b0cb34ef
17,20260812150000_fix_record_vocabulary_attempt_v2_ambiguous_column.sql,1a183ee6c4560316a659de2b71e05a1c7f34384f6288b937fef52ccd244e2e06
18,20260813073915_practice_session_tab_events.sql,0b1783877d5bd28d96af8fc1a071fb9c35c4e95a7f36670ee4b03106adbec509
19,20260813074607_vocabulary_multiple_choice.sql,40929031582ddf98772d128b3711b82c0f89a38abd7c83c8173dd9094568a63e
20,20260815120000_core_auth_phase1_catchup_rls_and_grants.sql,e40d47873428c18b7a470b8830b030cd921de03a45910aa486689d2830974ac6
21,20260815130000_finalize_student_creation_return_status.sql,0cb78db5502b57280ae2f58de22c49e774ea2affeaee9ed4535e71443f543525
22,20260815140000_core_auth_identity_fk_delete_restrict.sql,376a6b8db05759abccb9c23b73e7f095d6214d0c9a20ec6ab94197a7ca9c7414
23,20260815150000_complete_password_change_convergence.sql,3b7795f4476080e793538e1fa5706be04f09e2d76bb4c9abaeb11721c516963b
24,20260815160000_game_phase0_contract.sql,42fc227d54545ba1874f90c52d912dc87f6392b38894247bf97893bb472d4ee2
25,20260815170000_game_unlock_scheme_b.sql,e085a9ccd39fdab6cea1e057c3a19b4682d0d503137bbf6d14f5ab7feaf28ac7
26,20260815180000_game_session_identity_v2.sql,481cf65dd0109b4e4623cbfb12f418718243a8fe55b0a3a609a00a96ce6cea66
27,20260815190000_game_completion_acl_fix.sql,589c5124346533f14bd20da209971130c2eb91878c05d9e0e8096b38f5ab6211
28,20260815200000_game_p2p_signaling.sql,becfe4074539f9457df37376079e4465af9f0f4cd2f23d669bdfea7378f8afb3
